ID	Frameset	Arg	Func	Descr
438	affect.01	ARG2	MNR	instrument, effect had
439	affect.02	ARG0	PAG	agent, assumer
440	affect.02	ARG1	PPT	characteristic
441	effect.03	ARG0	PAG	cause
442	effect.03	ARG1	PPT	effect, usually a change
443	effective.04	ARG0	PAG	cause
444	effective.04	ARG1	PPT	domain in which arg0 is effective; outcome effected
445	take_effect.05	ARG0	PAG	cause
446	take_effect.05	ARG1	PPT	effect, usually a change
447	in_effect.06	ARG0	PAG	cause
448	in_effect.06	ARG1	PPT	active thing
449	affection.01	ARG0	PAG	entity feeling positive emotion
450	affection.01	ARG1	PPT	target of affection
451	affiliate.01	ARG0	PAG	causer of affiliation, agent
452	affiliate.01	ARG1	PPT	entity affiliated
453	affiliate.01	ARG2	PPT	affiliated with
454	affirm.01	ARG0	PAG	confirmer
455	affirm.01	ARG1	PPT	thing confirmed, statement or proposition
456	affirm.01	ARG2	GOL	benefactive, hearer
457	affix.01	ARG0	PAG	attacher, agent
458	affix.01	ARG1	PPT	focus of attachment
459	affix.01	ARG2	GOL	thing arg 1 is affixed to
460	affix.01	ARG3	MNR	instrument of bonding, glue
461	afflict.01	ARG0	PAG	causer of suffering
462	afflict.01	ARG1	PPT	entity suffering
463	afflict.01	ARG2	MNR	instrument, if separate from arg0
464	afford.01	ARG0	PAG	haver of financial means, agent
465	afford.01	ARG1	PPT	costly thing, theme
466	afford.02	ARG0	PAG	provider, agent
467	afford.02	ARG1	PPT	provided, theme
468	afford.02	ARG2	GOL	recipient
469	affordable.03	ARG0	PAG	entity able to pay for arg1
470	affordable.03	ARG1	PPT	commodity priced attainably
471	affordable.03	ARG2	VSP	price
472	affront.01	ARG0	PAG	offender
473	affront.01	ARG1	PPT	offended
474	affront.01	ARG2	MNR	instrument, if separate from arg0
475	affuse.01	ARG0	PAG	causal agent
476	affuse.01	ARG1	PPT	thing affused, poured
477	affuse.01	ARG2	GOL	destination
478	africanamerican.01	ARG1	PAG	african american entity
479	africanize.01	ARG0	PAG	agent, causer
480	africanize.01	ARG1	PPT	thing changing
481	african.02	ARG1	PAG	African entity
482	aftermath.01	ARG1	PAG	precipitating events
483	aftermath.01	ARG2	PPT	the fallout
484	aftershock.01	ARG1	PPT	ground shaken (plates, region, epicenter)
485	aftershock.01	ARG2	EXT	magnitude, generally Richter scale
486	aftershock.01	ARG3	VSP	death/injury toll
487	aftershock.01	ARG4	VSP	damages/cost
488	age.01	ARG0	PAG	causer of aging, agent
489	age.01	ARG1	PPT	entity getting old
490	age.01	ARG2	EXT	amount aged
491	age.03	ARG0	PAG	entity assessing age
492	age.03	ARG1	PPT	entity being assessed for age
493	age.03	ARG2	PRD	age
494	age_out.02	ARG0	PAG	entity determining what the age cap is
495	age_out.02	ARG1	PPT	entity getting older
496	age_out.02	ARG2	DIR	thing arg1 is too old for
497	of_age.04	ARG1	PPT	entity aging
498	of_age.04	ARG2	VSP	level of maturity reached, age
499	of_age.04	ARG3	GOL	action enabled by age level
500	agglomerate.01	ARG0	PAG	agent, cause
501	agglomerate.01	ARG1	PPT	clustering thing
502	agglomerate.01	ARG2	MNR	instrument, method
503	aggravate.01	ARG0	PAG	stimulus
504	aggravate.01	ARG1	PPT	thing getting angry or getting worse
505	aggravate.01	ARG2	MNR	instrument, if separate from arg0
506	aggregate.01	ARG0	PAG	entity aggregating something
507	aggregate.01	ARG1	PPT	thing/stuff aggregated
508	aggregate.01	ARG2	LOC	attribute, descriptor of state where arg1 aggregates
509	aggress.01	ARG0	PAG	aggressor
510	aggress.01	ARG1	GOL	entity aggression is directed toward
511	aggress.02	ARG0	PAG	forceful thing
512	aggrieve.01	ARG0	PAG	offender
513	aggrieve.01	ARG1	PPT	aggrieved
514	aggrieve.01	ARG2	MNR	instrument, if separate from arg0
515	agitate.01	ARG0	PAG	causer
516	agitate.01	ARG1	PPT	experiencer
517	agonize.01	ARG1	PPT	agonized entity
518	agonize.01	ARG2	PAG	cause of agony
519	agree.01	ARG0	PAG	agreer
520	agree.01	ARG1	PPT	proposition
521	agree.01	ARG2	COM	other entity agreeing
